ts,u_predict,t_,V
6.64,-62.80517081682636,6.64,-62.80239671
6.66,-62.59627386830731,6.66,-62.739782039999994
6.68,-62.40634404854683,6.680000000000001,-62.64586002
6.7,-62.23488889095049,6.7,-62.52063066000001
6.72,-62.0807706129841,6.72,-62.36409396
6.74,-61.94243884501381,6.739999999999999,-62.2388646
6.76,-61.81811821854987,6.76,-62.14494258
6.78,-61.70595215283383,6.78,-62.082327899999996
6.8,-61.60410738327988,6.8,-61.80056185
6.82,-61.51084540064737,6.82,-61.9257912
6.84,-61.4245673784344,6.84,-61.86317652
6.86,-61.34383878897526,6.859999999999999,-61.73794717
6.88,-61.267399113406654,6.88,-61.55010313
6.9,-61.19416109981181,6.9,-61.39356643
6.92,-61.1232030816324,6.92,-61.45618111
6.94,-61.05375702317281,6.94,-61.29964441
6.96,-60.98519424773569,6.96,-61.01788208
6.98,-60.917010232425284,6.9799999999999995,-61.14311144
7.0,-60.84880941092868,7.0,-60.98657474
7.02,-60.7802905931499,7.0200000000000005,-60.9552674
7.04,-60.71123336803008,7.04,-60.9552674
7.06,-60.64148568397003,7.0600000000000005,-60.736116020000004
7.08,-60.57095268318116,7.08,-60.70480868
7.1,-60.49958678817937,7.1,-60.45434996
7.12,-60.42737898948275,7.12,-60.4856573
7.14,-60.35435125489178,7.14,-60.45434996
7.16,-60.28054996613237,7.16,-60.235198589999996
7.18,-60.206040283430724,7.180000000000001,-60.235198589999996
7.2,-60.130901339397795,7.199999999999999,-60.14127657
7.22,-60.055222168055835,7.22,-60.203891250000005
7.24,-59.97909828132126,7.24,-59.89081785
7.26,-59.9026288126916,7.26,-59.85951051
7.28,-59.825914155575205,7.28,-59.828203169999995
7.3,-59.749054031235076,7.300000000000001,-59.73428115
7.32,-59.672145928450604,7.32,-59.702973809999996
7.34,-59.595283863611314,7.34,-59.54643711
7.36,-59.51855741599911,7.359999999999999,-59.32728946
7.38,-59.442050998482074,7.38,-59.54643711
7.4,-59.36584332875822,7.4,-59.60905179
7.42,-59.290007070673155,7.42,-59.13944542
7.44,-59.21460861903758,7.4399999999999995,-59.076830740000005
7.46,-59.13970800481657,7.46,-59.04552341
7.48,-59.06535890059634,7.4799999999999995,-58.98290873
7.5,-58.991608708888734,7.5,-58.85767937
7.52,-58.91849871814722,7.52,-58.88898671
7.54,-58.8460643133772,7.540000000000001,-58.669835330000005
7.56,-58.774335229962404,7.5600000000000005,-58.63852799
